,epoch_number,abort_rate
0,5,0.0
1,6,0.0
2,7,0.0
3,8,0.0
4,11,0.0
5,12,0.0
6,15,0.0
7,16,0.0
8,19,0.0
9,20,0.0
10,23,0.0
11,24,0.0
12,27,0.0
13,28,0.0
14,31,0.0
15,32,0.0
16,35,0.0
17,36,0.0
18,39,0.0
19,40,0.0
20,43,0.0
21,44,0.0
22,47,0.0
23,48,0.0
24,51,0.0
25,52,0.0
26,55,0.0
27,56,0.0
28,59,0.0
29,60,0.0
30,63,0.0
31,64,0.0
32,67,0.0
33,68,0.0
34,71,0.0
35,72,0.0
36,75,0.0
37,76,0.0
38,79,0.0
39,80,0.0
40,83,0.0
41,84,0.0
42,87,0.0
43,88,0.0
44,91,0.0
45,92,0.0
46,95,0.0
47,96,0.0
48,99,0.0
49,100,0.0
50,103,0.0
51,104,0.0
52,106,0.0
53,107,0.0
54,109,0.0
55,110,0.0
56,113,0.0
57,114,0.0
58,116,0.0
59,117,0.0
60,119,0.0
61,120,0.0
62,121,0.0
63,122,0.0
64,123,0.0
65,124,0.0
66,125,0.0
67,126,0.0
68,127,0.0
69,128,0.0
70,129,0.0
71,130,0.0
72,131,0.0
73,132,0.0
74,133,0.0
75,134,0.095
76,135,0.2077922077922078
77,136,0.125
78,137,0.20689655172413793
79,138,0.11
80,139,0.10344827586206896
81,140,0.095
82,141,0.16883116883116883
83,142,0.155
84,143,0.05172413793103448
85,144,0.3333333333333333
86,145,0.13
87,146,0.1206896551724138
88,147,0.135
89,148,0.05172413793103448
90,149,0.3333333333333333
91,150,0.085
92,151,0.2
93,152,0.13
94,153,0.017241379310344827
95,155,0.12
96,156,0.034482758620689655
97,157,0.0
98,158,0.145
99,159,0.05172413793103448
100,160,0.3333333333333333
101,161,0.14
102,162,0.06896551724137931
103,163,0.25
104,164,0.1
105,165,0.21794871794871795
106,166,0.135
107,167,0.08620689655172414
108,168,0.4
109,169,0.105
110,170,0.017241379310344827
111,171,0.0
112,172,0.205
113,173,0.08620689655172414
114,174,0.6
115,175,0.14
116,176,0.06896551724137931
117,178,0.115
118,179,0.08620689655172414
119,180,0.4
120,181,0.125
121,182,0.10344827586206896
122,183,0.12
123,184,0.06896551724137931
124,186,0.14
125,187,0.017241379310344827
126,189,0.135
127,190,0.10526315789473684
128,191,0.125
129,192,0.10344827586206896
130,193,0.145
131,194,0.10344827586206896
132,195,0.14
133,196,0.06896551724137931
134,197,0.5
135,198,0.16
136,199,0.10344827586206896
137,200,0.125
138,201,0.06896551724137931
139,202,0.5
140,203,0.12
141,204,0.034482758620689655
142,206,0.085
143,207,0.24
144,208,0.115
145,209,0.017241379310344827
146,211,0.155
147,212,0.15517241379310345
148,213,0.13
149,214,0.09
150,215,0.205
151,216,0.135
152,217,0.095
153,218,0.205
154,219,0.17
155,220,0.13934426229508196
156,221,0.16
157,222,0.22
158,223,0.13
159,224,0.19
160,225,0.13
161,226,0.0
